Citations,Tectonic Setting,Location,Rock Name,Rock Type,SiO2,TiO2,Al2O3,Fe2O3,CAO,MGO,FEO
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / BARRA DO OURO-MORRINHOS SERIES,THOLEIITIC ANDESITE [2466],VOL,54.87,1.21,14.1,2.41,7.99,5.01,7.49
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / BARRA DO OURO-MORRINHOS SERIES,THOLEIITIC ANDESITE [2466],VOL,53.23,0.98,14.18,1.02,9.86,5.21,9.03
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / BARRA DO OURO-MORRINHOS SERIES,THOLEIITIC ANDESITE [2466],VOL,51.81,1.29,15.03,5.19,8.77,4.71,6.28
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / BARRA DO OURO-MORRINHOS SERIES,THOLEIITIC ANDESITE [2466],VOL,51.13,1.2,14.08,4.44,10.03,5.45,6.7
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,51.57,0.81,14.86,2.07,10.84,7.83,7.1
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,51.42,0.8,14.93,2.18,10.86,7.79,6.97
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,50.74,0.99,15.44,2.75,10.24,6.38,7.62
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,50.6,0.96,15.42,2.26,10.1,5.66,7.89
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,52.06,1.26,13.68,3.34,8.64,6.5,8.16
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,51.29,1.3,13.54,4.56,9.91,5.71,7.68
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,50.26,1.55,14.52,3.77,10.17,5.18,7.52
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,51.85,1.05,15.14,3.42,9.42,5.67,7.22
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,53.02,1.2,14.2,5.41,8.19,5.5,6.14
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,48.91,1.42,15.17,3.24,8.8,5.29,8.36
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,51.75,1.46,14.89,3.4,10.14,4.64,7.37
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,51.53,1.22,15.41,3.22,9.34,4.83,7.74
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,53.42,1.3,13.87,2.8,9.16,4.97,8.8
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,53.28,1.34,13.77,4.46,8.39,4.82,7.2
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,51.94,1.37,14.78,5.14,8.74,4.83,6.67
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,52.85,1.38,13.66,4.89,8.44,4.77,7.2
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,52.27,1.24,15.4,1.97,8.75,4.54,8.82
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,53.1,1.64,13.66,4.55,8.91,4.4,7.24
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,54.41,1.38,13.63,4.88,8.4,4.61,6.91
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,53.64,1.68,13.39,3.72,8.75,4.56,8.57
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,52.04,1.65,13.56,5.71,9.24,4.53,6.98
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,51.09,1.69,13.81,4.59,8.73,4.52,8.39
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,52.81,1.61,13.55,5.8,8.72,4.34,6.97
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,53.11,1.63,13.71,4.03,8.67,4.39,8.83
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,51.56,1.45,14.8,3.73,8.68,4.23,8.37
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,52.07,1.8,13.6,6.55,7.46,4.43,6.53
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,51.11,1.78,13.62,6.04,9.28,4.24,7.55
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,52.71,1.71,13.1,5.89,8.78,4.11,7.51
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,52.64,1.62,14.03,5.77,8.67,3.9,6.64
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,53.04,1.32,13.88,6.34,7.52,3.57,5.85
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,53.15,1.77,13.56,4.05,7.59,3.39,8.61
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,53.09,1.78,13.92,3.34,8.23,2.96,8.67
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,51.16,3.43,13.55,3.7,8.34,4.38,7.99
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,50.66,3.73,12.88,6.22,7.81,4.52,6.16
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,51.97,3.48,13.96,3.15,8.27,4.25,8.18
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,51.26,3.49,13.34,3.35,8.23,4.26,8.02
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,51.64,3.58,12.98,3.29,8.54,4.34,8.91
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,51.35,3.78,13.1,6.47,7.57,4.37,5.91
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,51.68,3.46,13.5,3.93,8.08,4.24,7.34
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,51.3,3.43,13.33,4.27,7.45,4.09,7.63
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,55.77,1.73,13.49,3.94,6.27,4.98,8.07
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,58.76,1.42,11.27,2.32,7.5,3.95,8.17
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,55.6,1.63,13.14,3.97,7.57,3.87,8.16
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,56.46,1.5,13.39,3.42,6.46,3.15,6.96
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,57.46,1.68,14.1,3.38,6.51,1.99,7.21
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,51.21,3.7,12.65,7.34,6.02,4.29,4.94
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,55.95,1.7,13.34,4.93,5.7,3.91,6.78
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,52.85,1.98,13.46,5.98,7.22,2.97,7.91
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,51.97,1.01,14.59,2.79,10.96,7.05,7.24
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,49.79,1.13,15.84,3.37,10.37,5.98,7.36
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,52.29,1.26,14.17,3.7,9.83,6.13,8.04
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,51.01,1.35,14.9,3.91,9.81,5.42,7.78
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,52.25,1.26,13.91,5.94,8.86,5.87,6.18
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,50.99,1.24,13.63,4.25,8.33,6.22,7.43
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,50.36,2.12,15.02,5.0,9.24,5.04,6.69
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,51.72,1.28,14.68,4.35,9.55,4.83,7.49
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,52.49,1.38,13.45,5.06,8.39,4.82,7.28
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,51.65,1.42,14.79,4.07,9.19,4.47,7.63
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,51.28,1.71,13.75,5.51,9.37,4.68,7.38
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,54.95,1.34,13.54,3.98,8.13,4.47,7.8
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,52.85,1.56,13.84,5.57,8.59,4.57,7.38
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,55.61,1.28,13.51,3.02,8.03,4.42,8.7
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,54.13,1.57,13.54,5.5,7.78,4.48,6.97
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,52.76,1.63,13.97,4.78,8.21,4.31,7.64
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,53.87,1.57,13.57,4.29,8.15,4.35,8.31
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,53.15,1.67,13.51,5.46,8.27,4.26,7.4
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,53.81,1.57,13.58,4.56,8.2,4.34,8.36
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,52.94,1.64,13.79,5.06,8.28,4.19,7.36
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,52.16,1.67,14.1,5.16,8.17,4.07,7.89
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,52.62,1.63,13.98,5.16,8.4,3.86,7.58
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,54.69,1.33,14.17,3.4,8.26,3.55,8.11
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,54.2,1.44,14.11,3.96,7.91,3.57,7.87
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,48.21,3.68,14.02,7.27,9.16,4.06,5.86
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,54.81,1.31,13.75,3.41,8.2,4.33,8.48
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,55.78,1.67,13.65,5.43,6.12,3.44,6.04
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,56.05,1.68,13.65,6.33,6.22,3.28,5.63
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,57.38,1.6,13.25,4.94,6.19,3.26,6.75
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,54.65,1.26,13.29,9.19,5.34,3.06,2.09
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,56.43,1.7,13.84,4.8,5.8,3.09,6.18
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,54.99,1.71,14.35,3.98,6.41,2.73,7.48
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,51.17,1.35,14.38,10.13,6.69,3.33,1.89
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,51.95,0.96,13.92,2.36,9.99,6.2,7.94
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,50.31,1.14,14.86,6.57,9.57,5.31,3.66
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,52.26,1.14,15.3,3.82,9.42,5.22,6.35
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,54.51,1.18,14.45,3.49,8.45,5.4,6.6
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,54.22,1.12,15.35,2.96,8.67,4.95,6.63
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,52.74,1.15,13.99,4.35,9.51,5.4,7.25
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,51.26,1.37,13.59,4.45,8.94,5.59,7.62
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,51.87,1.08,15.35,3.5,9.52,5.14,7.2
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,53.25,1.18,13.98,3.48,9.0,5.16,7.52
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,52.2,1.78,15.0,3.25,9.43,4.97,7.11
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,53.36,1.27,13.81,4.24,9.07,5.1,7.22
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,53.66,1.19,15.41,3.49,8.45,5.4,6.6
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,52.19,1.33,15.06,4.68,9.41,4.61,5.97
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,50.46,1.79,16.01,3.36,9.28,4.69,7.72
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,52.08,1.38,13.09,4.93,8.4,4.82,7.75
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,53.73,1.42,14.26,4.46,7.84,4.24,7.04
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,53.0,1.36,14.86,4.53,8.78,3.96,6.94
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,51.9,1.4,14.55,4.38,8.35,3.57,7.97
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,53.37,1.47,14.72,3.63,8.31,3.36,7.88
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,54.37,1.26,14.3,2.56,8.29,3.95,7.81
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,55.46,0.95,13.2,3.68,8.06,4.33,7.71
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,55.5,1.43,13.82,3.52,7.49,3.93,7.97
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,55.4,1.41,13.26,4.37,7.25,4.0,7.77
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,53.3,1.54,14.69,6.32,8.12,3.03,5.75
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,55.8,1.49,13.07,3.4,7.4,3.14,9.11
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,56.28,1.61,12.72,4.47,6.67,3.04,7.83
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,53.99,1.62,14.32,3.89,7.44,2.32,8.52
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2581],VOL,55.45,1.72,13.72,3.55,7.29,2.27,8.55
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / BARRA DO OURO-MORRINHOS SERIES,THOLEIITIC ANDESITE [2581],VOL,47.97,1.16,15.68,5.82,10.19,7.16,4.71
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / BARRA DO OURO-MORRINHOS SERIES,THOLEIITIC ANDESITE [2581],VOL,48.18,1.0,16.26,4.31,9.94,6.31,5.57
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / BARRA DO OURO-MORRINHOS SERIES,THOLEIITIC ANDESITE [2581],VOL,48.35,1.12,16.53,5.31,10.08,6.38,4.64
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / BARRA DO OURO-MORRINHOS SERIES,THOLEIITIC ANDESITE [2581],VOL,50.1,0.98,16.28,3.66,10.29,6.57,6.12
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / BARRA DO OURO-MORRINHOS SERIES,THOLEIITIC ANDESITE [2581],VOL,48.88,1.1,15.95,5.77,9.95,6.11,4.22
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / BARRA DO OURO-MORRINHOS SERIES,THOLEIITIC ANDESITE [2581],VOL,46.57,1.21,16.89,6.14,10.63,5.37,4.35
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / BARRA DO OURO-MORRINHOS SERIES,THOLEIITIC ANDESITE [2581],VOL,50.71,1.31,15.92,4.37,9.59,5.32,6.15
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / BARRA DO OURO-MORRINHOS SERIES,THOLEIITIC ANDESITE [2581],VOL,53.23,0.98,14.18,1.02,9.86,6.21,9.03
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / BARRA DO OURO-MORRINHOS SERIES,THOLEIITIC ANDESITE [2581],VOL,53.08,1.06,14.9,2.6,9.03,5.07,6.86
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / BARRA DO OURO-MORRINHOS SERIES,THOLEIITIC ANDESITE [2581],VOL,51.13,1.2,14.08,4.44,10.03,5.45,6.7
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / BARRA DO OURO-MORRINHOS SERIES,THOLEIITIC ANDESITE [2581],VOL,52.07,1.2,14.06,3.96,9.07,5.49,7.3
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / BARRA DO OURO-MORRINHOS SERIES,THOLEIITIC ANDESITE [2581],VOL,50.99,1.25,15.83,3.94,9.2,5.06,6.37
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / BARRA DO OURO-MORRINHOS SERIES,THOLEIITIC ANDESITE [2581],VOL,55.13,1.22,13.9,3.06,8.25,4.86,6.68
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / BARRA DO OURO-MORRINHOS SERIES,THOLEIITIC ANDESITE [2581],VOL,54.87,1.21,14.1,2.41,7.99,5.01,7.49
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / BARRA DO OURO-MORRINHOS SERIES,THOLEIITIC ANDESITE [2581],VOL,55.46,1.21,14.27,2.24,8.31,4.39,7.19
