DepthFromTrenton_ft,TOC,Mg,Al,Si,S,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,Rb,Sr,Zr,Nb,Ba,Hg,Th,
68.57,,14778.62,38775.3,84490.94,6000.82,17851.46,328756.78,963.17,,371.24,5710.92,114.69,20.95,37.09,37.51,1967.16,38.16,3.64,451.83,6.65,5.43,
68.37,,15892.58,37426.64,87213.73,33399.54,10151.93,299673.88,1101.38,51.76,244.51,6456.29,70.92,14.03,21.7,41.01,1860.49,48.56,4.41,160.92,12.28,3.31,
68.18,,16304.89,39376.35,89821.02,4893.12,10248.18,314850.81,986.49,,371.54,6033.96,113.25,29.54,27.18,37.24,1979.08,46.82,3.49,490.51,6.28,2.99,
67.98,,20246.72,34769.16,86385.25,4702.29,15793.76,320050.69,1036.59,54.23,399.02,5911.23,105.51,21.49,35.81,32.34,2034.9,39.54,4.76,451.94,7.3,4.04,
67.78,,19262.95,38052.59,93628.03,4248.17,16968.32,319377.31,1155.78,,373.16,5438.5,113.63,22.63,27.14,34.41,2023.09,47.33,4.93,523.1,,3.62,
67.59,,17515.17,61063.39,132301.69,4623.23,15543.59,261380.78,1478.4,56.94,286.88,6098.89,111.05,27.67,33.31,60.19,1597.63,53.83,6.04,397.06,6.64,5.68,
67.39,,18499.84,31439.63,78522.87,3873.82,7407.52,340628.13,851.41,,365.05,4725.47,114.91,21.78,23.75,27.19,2111.05,32.21,3.99,443.68,10.93,3,
67.19,,15355.5,32820.03,77996.45,3678.93,14492.54,341017.66,926.23,,332.26,4569.42,122.16,14.94,17.61,29.25,2089.66,34.53,3.57,408.24,8.55,3.52,
66.99,2.2946,16192.99,34142.75,87047.03,3606.55,16680.56,324282.94,1113.07,,341.36,5078.79,85.31,18.06,24.23,35.49,2049.77,42.66,5.31,459.76,7,4.06,
66.80,,13385.5,31977.1,86663.61,10623,14829.59,306250.5,940.14,85.46,339.16,5873.72,107.88,21.81,26.45,34.04,1989.97,42.57,3.39,496,7.51,4.39,
66.60,,17831.64,33811.04,86194.91,9874.44,15989.9,314462.56,1055.56,,370.85,6142.48,109.23,23.77,25.56,33.49,2130.77,42.91,4.68,473.64,8.47,3.24,
66.40,,15770.65,30263.06,75142.45,8352.5,13051.7,334981,882.96,,325.86,10387.39,110.76,28.66,32.53,26.11,2192.17,42.45,3.33,324.58,6.91,1.75,
66.21,,15112.66,27663.44,66767.98,3699.79,12899.48,355939.41,847.85,,279.68,4726.82,65.58,,17.75,24.46,2272.1,29.45,4.06,227.81,7.23,2.65,
66.01,,19973.63,30177.71,83322.7,4506.98,12668.74,323181.34,933.01,,358.59,6275.71,111.9,19.42,33.71,25.29,2206.75,34.37,3.24,387.32,9.09,3.58,
65.81,,16299.67,23788.27,67312.49,3160.11,5298.47,357308.13,775.87,,347.16,4229.71,103.21,18.64,19.73,21.09,2505.06,29.88,3.04,319.74,,1.71,
65.62,,18291.64,32905.39,90794.89,4778.93,14253.26,302311.06,957.85,,384.21,7274.68,106.49,24.61,32.78,31.7,2004.65,42.49,3.92,454.51,,3.62,
65.42,,17800.21,28377.88,70677.19,3049.32,12103.1,353294.88,777.23,,381.08,4339.94,108.52,19.71,25.63,24.28,2343.09,34.89,3.62,462.45,9.37,,
65.22,,18186.8,34900.92,80691.53,4366.81,14974.23,344066.5,982.42,,357.29,5419.36,99.18,21.45,35.79,28.59,2270.3,38.25,3.71,310.88,8.99,2.6,
65.03,1.1837,16765.2,31057.01,71938.25,3775.85,13958.51,343515.84,854.71,,342.25,5152.56,115.06,,32.5,27.47,2315.24,38.02,3.28,427.75,,,
64.83,,16224.23,41165.74,89225.44,3335.12,10546.93,325450.53,1066.89,69.93,385.25,4947.32,117.46,19.12,20.54,42.45,2026.24,43.09,4.8,459.23,,6.9,
64.63,,17508.04,34406.68,81860.66,3539.86,14730.44,335272.72,846.54,,359.88,5133.21,125.55,19.53,35.71,30.1,2310.98,37.81,3.46,444.1,,4.1,
64.44,,20481.32,32165.11,82155.17,6164.71,7157.68,331424.25,924.69,,408.78,6911.51,136.67,18.98,26.45,24.99,2387.69,45.16,3.32,463.99,8.41,3.19,
64.24,,15715.58,30658.59,74982.16,4367.74,13308.54,341729.09,887.84,,389.01,5801.76,100.96,16.26,25.87,28.28,2453.13,31.34,3.24,461.68,,,
64.04,,20563.34,42622.18,93785.03,4591.06,10231,315417.88,1031.61,,351.92,5761.19,121.46,25.65,31.43,39.48,1968.05,41.64,4.39,425.78,6.17,3.19,
63.85,,20108.63,43418.77,96121.48,6224.43,10499.82,315739.16,1116.09,,341.18,7263.92,131.46,21.29,38.69,41.71,2044.54,51.8,3.83,436.44,,4.74,
63.65,,19136.99,35536.36,83818.97,4015.91,15568.4,326913,1003.63,,407.74,5855.84,122.46,17.21,26.26,33.35,2109.88,40.8,4.06,471.38,9.2,2.93,
63.45,,19370.63,34384.61,84148.94,3818.65,15455.95,331113.66,909.54,,365.05,5671.87,126.19,17.14,26.16,31.32,2104.67,43.51,3.58,436.96,9.27,3.35,
63.25,,17454.99,24655.21,63551.3,3895.87,5769.6,358874.5,733.86,,390.48,5071.15,141.58,16.51,34.59,21.09,2237.28,25.5,3.81,472.1,7.8,1.45,
63.06,1.6521,17398.9,35681.95,85402.63,4317.15,15742.09,323488,948.74,,371.19,5606.59,122.88,28.03,22.14,31.34,1924.63,40.38,3.57,488.94,,2.64,
62.86,,17359.02,43097.64,91281.14,4023.03,10966.71,319586.66,1113,,315.31,5846.3,89.05,14.61,24.86,45.84,1834.19,43.52,5.09,405.88,,2.96,
62.66,,15261.55,30121.71,74931.98,7480.5,14685.98,322908.28,801.06,,339.86,5496.65,95.99,20.56,27.18,32.34,1979.83,37.43,4.1,481.68,7.85,4.16,
62.47,,18988.78,42881.52,98116.83,4318.61,11569.15,303754.97,1218,56.5,326.71,6101.76,113.81,14.89,27.6,47.37,1791.28,44.86,4.58,369.85,8.19,3.49,
62.27,,18495.69,37348.34,86087.57,3721.46,16889.95,330028.31,931.88,,328.3,5475.92,91.77,16.11,24.96,34.31,2003.47,34.61,3.41,378.94,10.14,5.23,
62.07,,20098.31,39986.49,96217.16,3504.43,10174.64,313711.91,1066.12,58.77,354.95,5405.14,109.67,15.1,20.85,40.6,1813.57,45,4.61,370.48,,4.84,
61.88,,16091.99,30084.51,82814.13,4330.39,13320.25,313952,893.38,,313.21,6170.11,77.75,,20.28,31.99,1898.11,43.14,4.02,319.8,,2.75,
61.68,,21239.02,45128.49,101225.45,5221.26,10539.98,308987.44,1206.87,54.98,341.18,6886.08,99.88,14.73,63.09,42.55,1820.25,46.34,3.36,358.67,9.42,3.24,
61.48,,22373.86,48572.35,104207.09,4042.33,12079.92,301703.25,1286.26,47.44,341.84,6291.16,109.51,19.26,33.24,50.29,1794.49,48.83,4.46,440.92,,4.37,
61.29,,18194.27,47791.03,105739.66,4115.31,12781.5,297719.97,1339.77,,378.35,6163.46,116.32,20.42,25.87,54.43,1720.48,48.37,4.11,454.62,,4.74,
61.09,1.8117,19756.63,48951.36,119116.61,3973.25,13353.62,272491.38,1352.92,55.73,295.09,6758.16,98.97,18.87,30.43,53.24,1652.58,65.09,4.72,315.55,5.62,4.9,
60.89,,16832.56,46946.13,105626.5,4195.5,12493.79,294645.31,1261.3,67.36,392.7,6118.73,119.42,25.53,30.45,49.57,1778.67,47.32,4.67,532.41,7.22,5.16,
60.70,,17078.45,47829.16,114027.95,33724.36,14444.28,250368.59,1505.65,111.68,287.91,6937.52,94.02,17.53,44.99,62.99,1748.21,63.94,5.02,392.4,,4.68,
60.50,,21100.47,50189.36,117110.36,5184.21,12778.67,282767.47,1449.02,72.79,311.37,10178.02,70.64,15.29,27.93,52.13,1881.32,58.02,6.2,237.9,6.36,5.12,
60.30,,17580.64,45867.02,109578.35,5186.07,12304.12,282270.41,1255.82,68.05,436.58,7575.09,111.44,15.63,48.09,40.03,1911.28,72.4,4.54,485.74,6.98,3.69,
60.11,,21137.01,50967.68,117653.75,4216.89,13297.1,277300.59,1346.54,50.35,368.02,6932.02,113.55,22.5,30.66,57.4,1703.44,56.81,5.85,490.82,,5.59,
59.91,,25920.97,60571.89,130481.23,6132.84,15167.43,255706.41,1684.05,77.76,373.05,12060.85,112.42,20.72,59.04,61.58,1620.68,67.23,5.26,397.02,8.24,4.91,
59.71,,23114.46,46329.18,110251.16,4844.21,11615.83,285027.03,1211.11,47.68,348.69,7273.11,118.15,17.35,38.69,45.08,1692.67,59.37,4.84,371.37,10.05,2.9,
59.51,,24410.36,55623.12,125205.15,6075.54,13348.41,276696.38,1550.78,79.35,310.25,10206.82,64.03,20.67,42,55.99,1620.55,59.66,5.41,231.09,6.98,3.21,
59.32,,19957.85,59230.59,131578.52,4568.77,15368.62,254616.52,1536.25,117.98,366.59,7434.19,105.87,23.11,38.54,65.26,1443.47,72.79,5.67,450.06,6.3,5.19,
59.12,,20645.2,67041.93,150664.17,3936.69,18658.08,219651.05,1991.96,90.65,328.46,10841.28,95.51,17.02,41.68,83.07,1251.4,84.84,5.88,401.55,,6.76,
58.92,1.8202,23468.01,52510.69,126930.32,5262.01,12765.82,264131.78,1424.47,89.96,384.59,10572.11,114.23,30.08,61.62,51.92,1948.77,76.36,5.61,411.57,7.52,4.13,
58.73,,19036.73,33759.28,82183.52,3743.9,15007.56,333132.41,909.27,,440.24,4877.12,111.82,25.24,26.78,30.75,2344.09,27.77,4.26,498.33,7.08,2.75,
58.53,,18807.94,44709.11,104160.25,3971.46,11842.77,297060.44,1183.84,46.78,398.01,5537.86,119.4,23.97,26.58,47.4,1768.96,46,4.53,414.77,10.74,3.84,
58.33,,20205.1,51933.16,109857,3759.03,11884.02,299278.25,1302.28,41.24,381.15,5704.22,116.91,25.64,30.03,46.45,1923.13,47.85,5.32,569.6,7.94,5.13,
58.14,,20503.65,44575.63,105209.33,5253.39,11066.11,298098.94,1207.9,61.38,399.04,5592.56,106.59,22.8,23.02,41.75,1811.3,47.38,4.18,450.07,,5.3,
57.94,,12937.56,40415.97,79551.38,31682.56,10783.53,327262.53,1019.94,40.42,315.16,11512.02,64.85,12.24,22.76,42.14,1908.79,40.92,4.9,150.12,,1.75,
57.74,,17103.06,55007,104278.52,7116.65,14026.61,300430.19,1345.79,51.35,378.9,10767.74,98.17,22.93,25.88,59.29,1685.97,55.53,4.84,366.84,6.81,4.26,
57.55,,12420.63,34617.71,84350.02,15515.72,16735.3,315482.59,993.68,55.8,341.06,4948.55,85.96,16.76,26.86,33.56,2058.57,41.06,3.88,280.16,7.58,3.29,
57.35,,19989.31,51345.43,113772.09,6222.16,12811.96,286039.31,1405.24,53.81,423.91,6349.46,112.55,26.54,38.46,50.38,1803.62,49.81,4.84,440.92,8.44,4.67,
57.15,,16135,30720.88,77901.66,2857.13,13875.62,345101.41,887.53,,300.51,4002.96,102.26,15.15,23.56,27.89,2086.59,29.12,3.78,287.74,,2.26,
56.96,2.5041,20550.38,33773.9,90307.7,4089.16,13646.87,330156.53,951,,378.11,5532.02,102.26,16.79,27.11,27.14,2167.01,60.56,4.05,350.54,,4.51,
56.76,,17609.57,32926.59,92721.76,4170.36,14508.65,313950.16,1022.66,,362.56,5450.41,97.22,25.75,25.64,28.43,1971.98,48.64,4.29,394.71,7.02,2.86,
56.56,,19507.53,46026.45,116118.45,5752.27,12106.94,272593.88,1285.3,121.75,329.57,6622.98,104.66,12.57,37.45,46.82,1761.89,58.44,4.04,368.02,7.12,6,
56.36,,18833.08,43949.22,114816.47,4129.6,11439.26,280162.59,1296.27,57.04,333.62,6249.87,88.03,17.26,26.99,43.34,1792.67,52.33,4.83,353.87,6.01,4.11,
56.17,,21554.98,47745.59,118106.73,4046.47,11419.18,286947.63,1278.3,56.73,341.13,6051.7,100.38,22.26,32.22,44.49,1782.43,57.37,3.9,364.2,,4.34,
55.97,,19638.33,39116.84,101238.21,3435.29,16397.13,310129.41,1089.7,,329.34,5270.21,89.53,18.18,28.12,34.58,1838.46,52.25,4.41,349.69,,3.2,
55.77,,14441.63,29015.4,77596.87,3642.18,14412.29,320625.88,958.48,,335.82,5493.71,88.84,13.41,23.8,30.21,1949.52,39.6,4.16,412.1,,,
55.58,,18164.49,32771.79,79680.69,4532.51,13156.4,345174.25,899.2,,381.85,5529.05,121.84,16.52,19.99,27.27,2141.91,34.5,3.79,394.91,,2.76,
55.38,,14406.16,30078.85,85938.72,30148.72,13799.16,312376.19,910.92,,380.69,6557.12,105.55,20.22,17.27,30.27,1952.13,46.75,3.93,513.03,9.39,3.75,
55.18,,24542.71,49802.68,110207.8,4079.16,10865.4,313400.63,1199.45,,320.3,6446.76,40.21,12.81,50.87,43.07,1921.92,44.73,4.68,65.29,,3.15,
54.99,1.3191,21482.54,51305.91,114966.71,4271.47,13133.02,281063.03,1255.89,72.13,397.27,6889.13,114.53,18.63,27.31,54.28,1611.48,52.16,5.11,376.92,7.25,5.3,
54.79,,22586.72,46899.98,109272.38,5567.99,11486.09,292664.06,1164.83,66.07,413.61,6500.54,111.77,24.54,27.48,44.04,1662.13,46.9,4.91,463.5,9.78,6.11,
54.59,,17433,37297.81,78101.73,5232.42,16299.46,345107.16,886.24,79.5,393.79,5454.65,122.26,,24.37,36.09,1890.49,34.16,3.76,408.26,7.84,4.52,
54.40,,17481.23,34951.93,77783.87,22747.42,13649.06,348938.91,811.01,,223.96,5659.31,52.66,,40.31,36.59,2009.37,37.13,5.6,,6.25,2.98,
54.20,,18711.4,33247.81,80116.46,5490.38,13946.25,341392.09,839.72,,407.57,7425.21,116.85,17.98,26.12,28.62,2067.43,36.46,2.78,469.68,8.03,3.03,
54.00,,19523.57,30738.59,71356.24,15005.61,6342.3,350480.88,801.01,,436.68,24477.41,118.66,28.19,30.42,21.7,2237.21,30.69,3.25,480.32,14.43,1.03,
53.81,,13892.66,29291.83,67504.71,6447.71,13070.49,353902.06,817.77,,319.52,6908.92,70.45,,23.17,25.84,2163.21,28.79,3.86,219.13,6.66,2.81,
53.61,,16228.04,35130.96,88029.45,3984.1,15219.44,321521.31,968.82,69.99,377.83,4985.44,115.36,29.36,37.66,32.39,2067.81,37.71,3.64,446.98,6.87,3.11,
53.41,,21891.59,41568.46,107044.05,4067.12,10053.8,298364.47,1127.95,56.52,334.13,5817.97,91.57,12.51,22.68,38.54,1914.83,50.49,4.5,268.75,6.31,2.52,
53.22,,18184.24,42447.11,103298.92,4279.46,11392.13,290493.25,1149.24,80.56,447.3,5912.25,132.25,30.94,23.38,45.53,1761.38,52.57,3.17,498.17,,5.63,
53.02,1.1437,13190.51,31668.07,67416.1,16411.56,14386.08,333732.69,771.5,,427.71,10349.11,120.41,22.85,43.76,30.85,1818.86,37.77,3.16,490.43,6.72,3.43,
52.82,,10721.6,22060.81,54628.13,88139.17,7249.45,316584.06,707.01,,346.8,11101.58,120.07,18.43,41.53,26.19,1963.22,37.69,3.1,383.75,7.08,2.24,
52.62,,15312.35,38470.16,93170,39625.04,11265.73,284239.34,1064.72,59.96,366.49,6446.34,117.97,,40.94,44.03,1914.16,57.54,4.05,371.64,8.07,2.14,
52.43,,21110.09,40614.96,94923.81,4160.72,17420.05,312801,1010.95,78.39,383.2,5460.4,102.63,18.68,22.17,38.36,1941.18,41.89,4.02,365.12,,3.34,
52.23,,16406.21,28665.76,74745.32,4259.41,6671.77,344216.22,753.31,,433.41,4916.23,115.35,15.3,26.62,25.32,2384.39,34.83,3.62,460.11,,1.93,
52.03,,21623.92,32221.71,86799.64,3983.27,13584.5,316996.53,827.14,60.73,400.78,5894.59,107.82,22.02,28.62,29.25,2078.61,41.03,3.65,391.21,,2.39,
51.84,,18809.09,38501.76,91184.41,4461.08,16631.6,320724.59,976.08,68.93,382.38,6045.89,118.6,21.37,43.29,36.36,2126.14,47.75,3.9,470.16,,2.84,
51.64,,17925.21,49821.63,112229.55,4839.02,13762.7,289331.75,1406.36,75.69,418.81,5871.12,107.74,18.16,32.24,57.83,1610.58,48.55,5.69,426.97,,5.26,
51.44,,21501.54,41039.32,100634.82,4157.09,10093.45,306492.56,1160.62,82.14,395.66,6065.68,119.01,28.7,23.75,38.07,1869.78,49.52,4.6,404.36,8.12,4.02,
51.25,,20963.72,49542.66,110886.46,4165.17,12529.6,289702.47,1285.59,73.13,331.42,6436.83,84.98,23.65,27.78,51.81,1656.03,53.28,5.19,273.27,9.83,3.87,
51.05,1.658692308,17773.26,41067.63,100325.43,4721.14,10115.09,308943.69,1104.51,,331.02,5650.56,98.56,20.09,24.66,36.12,2411.1,43.73,4.42,244.66,,2.45,
50.85,,15014.77,49970.13,115952.73,21037.69,14283.25,255296.34,1595.82,83.61,377.74,11186.1,102.56,23.88,20.57,65.87,1455.8,67.07,6.09,366.51,,6.03,
50.66,,16225.54,37061.2,89315.94,43257.59,10177.49,289034.47,1117.55,87.26,376.2,6074.84,116.1,22.89,63.69,41.2,1823.42,55.63,4.59,424.33,,3.22,
50.46,,16502.02,36601.9,87132.88,7090.68,16133.81,315451.78,971.18,81.72,401.08,6033.15,115.06,18.34,27.25,34.74,1972.1,43.53,4.92,464.95,8.24,2.26,
50.26,,16599.47,34926.47,87142.82,6623.06,14379.92,317281.06,921.88,,356.83,5799.44,87.01,12.57,19.67,32.3,2305.5,37.49,2.78,323.92,,2.48,
50.07,,16333.34,42565.5,95771.53,6584.65,10525.63,312798.81,1164.79,,322.64,6000.76,66.44,,18.91,41.07,2023.66,40.82,4.6,158.8,,2.87,
49.87,,15626.65,33846.89,82853.63,4351.36,8009.9,335472.03,915.13,,415.26,4944.93,114.63,20.87,20.23,28.91,2240.8,40.03,4.04,427.36,,3.03,
49.67,,12299.3,29761.17,72692,5844.9,13584.67,335365.91,821.31,,391.81,5796.22,94.82,20.41,32.99,27.06,2291.97,40.54,3.21,351.96,9.03,2.82,
49.48,,13702.92,37757.55,90610.83,8316.16,10147.2,303613.25,991.39,,360.17,6259.46,89.34,14.89,22.35,37.49,2213.79,46.41,3.94,310.68,6.53,4.95,
49.28,,12052.38,23302.52,51189.76,4368.39,4502.7,386972.69,1265.73,,90.5,6100.33,,,,15.57,9447.64,112.23,,429.78,,98.89,
49.08,2.0573,8261.76,17741.27,44738.45,5310.2,3776.15,383498.38,1729.87,,538.6,6655.82,,,,11.11,2856.83,13.85,,,,26.07,
48.88,,10073.01,19608.88,46303.49,5153.96,3915.03,382781,1253.25,,307.86,6197.07,19.45,,,12.01,2759.83,19.06,1.66,94.02,,17.39,
48.69,,10677.26,24988.93,50783.21,5655.83,5029.79,376811.56,1474.93,,360.36,6465.2,26.94,,,13.51,2708.5,22.5,,80.48,,23.09,
48.49,,6780.04,20114.03,43405.27,6176.35,4645.02,379173.81,1383.82,,424.65,7529.76,,,,12.81,2619.32,16.19,,43.7,,13.73,
48.29,,7166,24295.12,50817.21,6177.21,5777.77,366662.69,1541.27,,273.96,6561.03,24.3,,,16.66,2324.29,21.13,,102.16,,27.68,
48.10,,10923.92,29150.47,58232.06,10331.91,7135.75,353646.19,1514,,445.48,7764.15,,,,19.59,2270.88,25.58,2.18,25.9,,13.7,
47.90,,11053.01,40560.84,73631.27,29784.82,10238.18,319142.13,1791.04,,347.19,9589.33,,,,30.59,1963.63,35.7,3.27,65.37,,18.29,
47.70,,13504.7,55461.7,90522.5,22390.2,13696.21,298781.41,2145.39,,477.82,15155.27,,,,40.39,1832.62,49.61,3.71,40.2,,17.7,
47.51,,17296.37,56722.76,98024.45,7414.63,13110.65,292514.22,1924.76,,384.07,10063.82,16.58,,,37.04,1683.01,48.54,3.98,55.94,,15.85,
47.31,,12925.03,43093.04,85162.5,13399.5,11187.69,303823.03,1961.69,,337.88,8685.67,,,,31.44,1857.22,46.57,4.16,82.4,,18.07,
47.11,,13725.56,29681.81,61144.97,11269.88,5710.53,363977.34,1586.74,,444.26,7324.95,18.33,,,14.53,2534.12,19.91,1.67,34.6,,21.23,
46.92,2.0371,13650.04,35528.57,67426.59,5552.93,7828.81,347933.34,1785.87,,458.09,6877.3,,,,21.93,2068.34,28.84,2.17,,,15.71,
46.72,,9396.15,25938.68,55368.66,4926.18,5707.46,364243.78,1798.67,,543.46,6360.62,,,,16.84,2457.94,16.03,2.08,,,18.78,
46.52,,10149.74,27459.48,59953.68,7350.12,6491.72,347311.78,1558.96,,312.6,7861.8,12.96,,,18.64,2377.71,23.66,1.97,61.76,,22.93,
46.33,,8441.17,22132.45,48322.76,14471.09,5304.38,358600.28,1551.63,,312.19,9417.02,,,,16.39,2404.4,18.51,1.59,28.6,,20.14,
46.13,,11362.35,14283.57,37711.97,5450.27,2524.15,399795.22,867.58,,345.15,6222.24,15.14,,,6.91,3255.98,11.75,,97.68,,14.93,
