DepthFromTrenton_ft,TOC,Mg,Al,Si,S,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,Rb,Sr,Zr,Nb,Ba,Hg,Th,
34.12,,13459.62,52882.23,94166.38,9600.9,11830.37,307294.84,1386.85,,342.86,9588.36,21.16,,27.84,33.09,1799.41,45.77,3.35,52.66,,18.95,
33.92,,15232.91,55941.24,100119.31,6459.12,12822.63,295833.13,1507.89,,379.78,10940.96,14.91,,,38.21,1707.23,49.78,3.59,74.98,,15.13,
33.73,,17019.72,49789.91,100050.73,4692.96,10924.43,299759.38,1314.32,,353.36,9392.79,14.67,,63.42,30.29,1802.34,44.3,2.9,53.98,,15.26,
33.53,,10821.58,38197,79046.41,35038.33,10948.93,284020.22,1203.65,,339.16,10762.79,,,14.82,33.83,1693.07,50.42,3.89,67.49,,13.03,
33.33,,14535.44,52957.44,99543.14,5389.65,14084.68,272171.97,1318.19,,222.03,10002.6,17.21,,17.91,42.6,1493.76,56.21,4.89,95.03,,10.26,
33.14,,10898.31,29423.35,78608.92,16061.96,7913.59,298065.22,967.85,,259.37,19741.82,,9.03,26.88,21.96,1944.81,35.71,2.8,42.2,,12.19,
32.94,1.9122,21807.08,53724.19,100103.12,6345.62,11861.51,296545.69,1485.26,,363.06,10434.8,,,21.26,34.57,1775.32,47.89,3.47,51.75,,13.14,
32.74,,19284.53,46818.16,92356.73,8358.2,9967.43,305041.63,1093.12,,334.35,10680.88,27.5,7.94,14.18,28.61,1863.27,42.27,3.11,126.57,,14.03,
32.55,,15252.85,35608.36,85218.29,7189.87,7651.59,319436.66,1142.08,,387.96,10274.45,,,6.04,21.1,1960.79,35.88,2,69.66,,14.23,
32.35,,14647.58,49467.86,89831.38,8595.68,11476.79,307645.13,1390.81,,431.9,11161.3,,,12.84,34.49,1805.32,40.56,3.54,66.41,,14.91,
31.96,,13542.77,23515.34,69170.25,33169,5489.89,339172.78,917.13,,205.2,12807.05,,,100.07,14.2,3176.12,34.43,,352.85,,21.5,
31.76,,8337.92,42638.14,93588.36,10000.26,11619.51,282455.59,1399.76,,323.21,10531.17,,,5.11,33.38,1645.18,45.91,3.85,87.93,,12.41,
31.56,,12757.79,49532.58,98755.2,7591.01,12031.91,291082.41,1757.08,,331.06,9741.38,15.46,,8.11,34.08,1736.38,46.44,3.58,78.24,,13.35,
31.36,,12725.25,39929.91,84943.16,7336.23,8879.8,319385.47,1573.99,,473.42,9809.85,,,55.41,24.57,1922.89,33.6,2.32,,,17.51,
31.17,,14117.73,30697.3,81432.63,6385.58,6194.42,327786.59,1319.41,,358.54,8842.31,26.2,7.7,9.31,17.76,1956.99,35.67,,88.71,,12.87,
30.97,1.3349,12272.4,28659.77,78139.64,8846.37,6374.37,319390.72,1318.4,,424.81,11303.07,,,23.38,18.14,1961.98,38.11,2.36,65.27,,14.61,
30.77,,13331.05,51431.91,104208.11,20143.28,14051.9,265556.66,1951.27,,318.23,11817.82,11.53,,17.63,42.18,1726.05,59.65,6.32,73.49,,20.12,
30.58,,13364.49,49321.06,95393.23,5897.98,12100.12,296558.13,1531.76,,428.26,9697.22,,,43.2,36.98,1697.54,47.83,4.76,,,10.13,
30.58,,14682.08,34603.73,73257.99,5646.55,7776.85,340188.63,1650.52,,499.39,8283.52,,,10.36,21.93,2185.19,27.94,1.78,,,14.94,
30.38,,7424.81,31711.18,72680.82,75587.16,8738.07,302492.69,1712.35,,318.56,7976.34,,,14.4,22.44,1953.77,34.13,2.47,48.4,,18.37,
30.18,,12143.08,43495.79,94746.81,7582.86,9912.77,304329.44,1826.92,,445.22,9339.96,,,,27.52,1874.81,42.27,1.81,36.6,,14.91,
29.99,,12162.95,30865.11,78260.63,13734.28,7337.99,315856.75,1554.87,,338.02,9445.75,,,7.62,20.6,2001.93,35.93,1.62,69.44,,18.25,
29.79,,12688.7,35763.32,83068.66,4926.82,8585.03,357215.44,1925.25,,907.25,9134.24,,,,25.84,2257.19,28.38,5.81,,,10.15,
29.59,,13214.39,40710.05,87543.16,7052.91,9566.2,309382.75,1885.49,,383.03,10028.78,,,7.32,28.18,1808.43,36.11,3.15,30.1,,16.93,
29.40,,16918.77,45898.6,85238.61,5450.58,10089.15,319971.53,1850.44,,369.53,9429.27,,,14.51,30.09,1882.33,31.46,2.36,34.1,,18.67,
29.20,,15997.57,45055.86,75400.13,9124.5,9812.34,337960.31,1913.97,,295.53,12218.78,34.69,,15.68,29.17,1902.27,31.83,3.39,63.43,,14.66,
29.00,1.4347,15184.26,46941.61,96942.81,6385.44,12316.97,289059.19,1805.37,,287.87,8978.56,,,9.88,36.46,1651.81,42.13,4.02,68.6,,17.47,
28.81,,13534.61,45319.22,91064.73,6039.71,10169.27,310397.31,1774.81,,325.6,10161.5,43.03,11.32,28,30.36,1908.97,42.09,2.56,92.08,,12.82,
28.61,,18025.21,46022.33,94465.82,6175.64,10424.51,302053.09,1788.27,,302.67,10959.67,26.45,,8.41,31.32,1831.35,42.02,3.91,46.4,,21.03,
28.41,,14938.04,47570.5,108744.71,14845.27,11947.36,264421.53,1772.32,,315.4,13059.75,20.98,,12.01,34.35,1622.91,53.2,3.82,67.01,,13.99,
28.22,,16492.21,55256.89,111774.59,7855.95,12947.14,268852.03,2175.48,,273.43,12540.56,30.34,8.09,13.94,37.96,1605.66,52.48,3.95,97.96,,18.59,
28.02,,10159.1,45062.94,96988.18,21643.26,11335.74,286937.5,2078.93,,214.04,11482.49,12.63,,42.93,28.39,1853.53,46.19,2.82,86.91,,20.8,
27.82,,15713.09,49036.4,101337.11,5253.66,10649.24,293741.75,1981.76,,339.32,10004.4,27.15,,7.59,30.78,1737.28,41.41,3.02,108.44,,18.88,
27.62,,12491.86,44460.16,90886.2,5679.99,10280.32,306550.5,1727.4,,233.24,9797.39,35.77,10.36,26.57,29.37,1788.13,40.24,2.37,73.91,,20.26,
27.43,,12174.01,39628.29,79531.2,21155.46,9502.02,309325.78,1889.29,,343.76,10167.31,22.65,,28.07,30.4,1909.3,36.17,2.9,40.5,,17.56,
27.23,,18631.62,49418.3,103707.93,5494.37,12140.46,292945.56,2194.72,,716.1,10879.21,,,,36.74,1772.22,47.31,4.95,,,10.68,
27.03,1.6755,12822.22,41503.5,89295.1,6124.06,8677.68,318246.84,1607.27,,289.24,10236.06,41.63,,13.92,25.37,1973.84,45.04,2.35,70.59,,15.35,
26.84,,13079.74,45767.75,97900.6,4319.82,11052.29,297956.25,1861.75,,384.07,8900.17,,,,33.52,1760.1,44.84,3.59,20.4,,15.88,
26.64,,19330.4,47170.88,96009.99,5337.95,10395.43,302544.81,1668.49,,418.75,10221.13,12.48,,13.38,31.34,1920.78,46.81,3.42,27.9,,13.85,
26.44,,12634.45,40495.27,98891.55,5922.09,11602.32,275567.09,2110.95,,441.77,10673.34,,,19.86,34.17,1613.75,48.37,4.25,58.27,,14.35,
26.25,,12606.18,36503.18,87364.37,13879.94,9116.69,304676.31,1774.64,,387.87,9544.39,,,14.92,26.02,1904.4,41.3,2.9,46.7,,16.61,
